SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
4112227,0,0,0,0,0,0,0,0,0,4,8,5,16,7,0,7,21,23,0,41
4112228,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,9,6,0,15
4112229,0,0,0,0,0,0,0,0,0,7,7,3,18,0,0,0,15,17,0,29
4112230,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,10,3,0,10
4112231,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,9,0,12
4112232,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,13,13,0,21
4112233,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,10,25,0,31
4112234,0,0,0,0,0,0,0,0,0,4,3,0,9,0,4,4,13,20,0,32
4112235,0,0,0,0,0,0,0,0,0,3,11,0,14,0,0,0,14,5,0,20
4112236,0,0,0,0,0,0,0,0,0,4,15,0,15,3,0,3,21,7,0,24
4112237,0,0,0,0,0,0,0,0,0,4,11,0,12,0,0,0,14,5,0,16
4112238,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,4,17,0,21
4112239,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,5
4112240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4112241,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,5,8,0,18
4112242,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,4,0,12
4112243,0,0,0,0,0,0,0,0,0,3,5,0,7,3,3,7,18,11,0,29
4112244,0,0,0,0,0,0,0,0,0,7,3,0,10,0,0,0,10,4,0,11
4112301,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,10,4,0,8
4112302,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,5,4,0,10
